original_index,Metadata_plate_barcode,Metadata_plate_index,Metadata_control_type,Metadata_WellRow,Metadata_WellCol,Metadata_heart_number,Metadata_cell_type,Metadata_heart_failure_type,Metadata_treatment,Metadata_Pathway,Metadata_Well,Metadata_treatment_type,Metadata_targeted,Metadata_reference_index,Metadata_reference_control_type,n_pos_pairs,n_total_pairs,average_precision
168,localhost240927120001,4,positive,B,5,7,healthy,,DMSO,,B05,control,False,-1,negative,23,27,0.9281712449178372
171,localhost240927120001,4,positive,B,8,7,healthy,,DMSO,,B08,control,False,-1,negative,23,27,0.9010076413425218
173,localhost240927120001,4,positive,B,11,7,healthy,,DMSO,,B11,control,False,-1,negative,23,27,0.9084562765506278
191,localhost240927120001,4,negative,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,control,False,-1,negative,23,27,0.8049427115870023
194,localhost240927120001,4,negative,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,control,False,-1,negative,23,27,0.7592062017200575
197,localhost240927120001,4,negative,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,control,False,-1,negative,23,27,0.7106554770823764
200,localhost240927120001,4,negative,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,control,False,-1,negative,23,27,0.7893582960025864
0,localhost240927060001,1,positive,B,2,7,healthy,,DMSO,,B02,control,False,-1,negative,23,27,0.9311077515567119
3,localhost240927060001,1,positive,B,5,7,healthy,,DMSO,,B05,control,False,-1,negative,23,27,0.8953764025076214
6,localhost240927060001,1,positive,B,8,7,healthy,,DMSO,,B08,control,False,-1,negative,23,27,0.9184003712453618
9,localhost240927060001,1,positive,B,11,7,healthy,,DMSO,,B11,control,False,-1,negative,23,27,0.8191411294551603
26,localhost240927060001,1,negative,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,control,False,-1,negative,23,27,0.8652575175539821
29,localhost240927060001,1,negative,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,control,False,-1,negative,23,27,0.7537793821628032
32,localhost240927060001,1,negative,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,control,False,-1,negative,23,27,0.8343176844402358
35,localhost240927060001,1,negative,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,control,False,-1,negative,23,27,0.7522783469661158
55,localhost240928120001,2,positive,B,2,7,healthy,,DMSO,,B02,control,False,-1,negative,23,27,0.9467485327927952
58,localhost240928120001,2,positive,B,5,7,healthy,,DMSO,,B05,control,False,-1,negative,23,27,0.9235827949389667
61,localhost240928120001,2,positive,B,8,7,healthy,,DMSO,,B08,control,False,-1,negative,23,27,0.8487152992467214
64,localhost240928120001,2,positive,B,11,7,healthy,,DMSO,,B11,control,False,-1,negative,23,27,0.8778263407231551
82,localhost240928120001,2,negative,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,control,False,-1,negative,23,27,0.8527112473990163
85,localhost240928120001,2,negative,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,control,False,-1,negative,23,27,0.8536115548210629
88,localhost240928120001,2,negative,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,control,False,-1,negative,23,27,0.8343176844402358
91,localhost240928120001,2,negative,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,control,False,-1,negative,23,27,0.75952472377771
110,localhost240926150001,3,positive,B,2,7,healthy,,DMSO,,B02,control,True,-1,negative,7,7,1.0
113,localhost240926150001,3,positive,B,5,7,healthy,,DMSO,,B05,control,True,-1,negative,7,7,1.0
116,localhost240926150001,3,positive,B,8,7,healthy,,DMSO,,B08,control,True,-1,negative,7,7,1.0
118,localhost240926150001,3,positive,B,11,7,healthy,,DMSO,,B11,control,True,-1,negative,7,7,1.0
136,localhost240926150001,3,negative,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,control,True,20,negative,7,31,0.26313941844680455
139,localhost240926150001,3,negative,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,control,True,21,negative,7,31,0.2898864809081528
142,localhost240926150001,3,negative,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,control,True,22,negative,7,31,0.3256007666224385
145,localhost240926150001,3,negative,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,control,True,23,negative,7,31,0.33512457614624797
165,localhost240927120001,4,positive,B,2,7,healthy,,DMSO,,B02,control,False,-1,negative,23,27,0.9330031477430625
168,localhost240927120001,4,positive,B,5,7,healthy,,DMSO,,B05,control,False,-1,negative,23,27,0.8995988753429629
171,localhost240927120001,4,positive,B,8,7,healthy,,DMSO,,B08,control,False,-1,negative,23,27,0.925789010559563
173,localhost240927120001,4,positive,B,11,7,healthy,,DMSO,,B11,control,False,-1,negative,23,27,0.9742611914445563
191,localhost240927120001,4,negative,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,control,False,-1,negative,23,27,0.7499146478632861
194,localhost240927120001,4,negative,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,control,False,-1,negative,23,27,0.8546953743831432
197,localhost240927120001,4,negative,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,control,False,-1,negative,23,27,0.8559580006457693
200,localhost240927120001,4,negative,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,control,False,-1,negative,23,27,0.742133419429884
0,localhost240927060001,1,positive,B,2,7,healthy,,DMSO,,B02,control,False,-1,negative,23,27,0.9201032800033778
3,localhost240927060001,1,positive,B,5,7,healthy,,DMSO,,B05,control,False,-1,negative,23,27,0.8791102665982105
6,localhost240927060001,1,positive,B,8,7,healthy,,DMSO,,B08,control,False,-1,negative,23,27,0.8612742847714492
9,localhost240927060001,1,positive,B,11,7,healthy,,DMSO,,B11,control,False,-1,negative,23,27,0.8505189417910424
26,localhost240927060001,1,negative,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,control,False,-1,negative,23,27,0.7733289147558141
29,localhost240927060001,1,negative,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,control,False,-1,negative,23,27,0.833831335040843
32,localhost240927060001,1,negative,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,control,False,-1,negative,23,27,0.8279366258852643
35,localhost240927060001,1,negative,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,control,False,-1,negative,23,27,0.8542180739058428
55,localhost240928120001,2,positive,B,2,7,healthy,,DMSO,,B02,control,False,-1,negative,23,27,0.8791570733383811
58,localhost240928120001,2,positive,B,5,7,healthy,,DMSO,,B05,control,False,-1,negative,23,27,0.9429872310906537
61,localhost240928120001,2,positive,B,8,7,healthy,,DMSO,,B08,control,False,-1,negative,23,27,0.9122663768390562
64,localhost240928120001,2,positive,B,11,7,healthy,,DMSO,,B11,control,False,-1,negative,23,27,0.9023374017818674
82,localhost240928120001,2,negative,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,control,False,-1,negative,23,27,0.7984103550546456
85,localhost240928120001,2,negative,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,control,False,-1,negative,23,27,0.830264732561197
88,localhost240928120001,2,negative,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,control,False,-1,negative,23,27,0.830264732561197
91,localhost240928120001,2,negative,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,control,False,-1,negative,23,27,0.8484209724565674
110,localhost240926150001,3,positive,B,2,7,healthy,,DMSO,,B02,control,False,-1,negative,23,27,0.8794328349901691
113,localhost240926150001,3,positive,B,5,7,healthy,,DMSO,,B05,control,False,-1,negative,23,27,0.8852041274941982
116,localhost240926150001,3,positive,B,8,7,healthy,,DMSO,,B08,control,False,-1,negative,23,27,0.7899315256998571
118,localhost240926150001,3,positive,B,11,7,healthy,,DMSO,,B11,control,False,-1,negative,23,27,0.8401309532969831
136,localhost240926150001,3,negative,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,control,False,-1,negative,23,27,0.800623118136974
139,localhost240926150001,3,negative,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,control,False,-1,negative,23,27,0.8542985489863177
142,localhost240926150001,3,negative,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,control,False,-1,negative,23,27,0.8683865141612396
145,localhost240926150001,3,negative,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,control,False,-1,negative,23,27,0.8177446439541519
165,localhost240927120001,4,positive,B,2,7,healthy,,DMSO,,B02,control,True,-1,negative,7,7,1.0
168,localhost240927120001,4,positive,B,5,7,healthy,,DMSO,,B05,control,True,-1,negative,7,7,1.0
171,localhost240927120001,4,positive,B,8,7,healthy,,DMSO,,B08,control,True,-1,negative,7,7,1.0
173,localhost240927120001,4,positive,B,11,7,healthy,,DMSO,,B11,control,True,-1,negative,7,7,1.0
191,localhost240927120001,4,negative,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,control,True,28,negative,7,31,0.19951918337011507
194,localhost240927120001,4,negative,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,control,True,29,negative,7,31,0.22630842587364325
197,localhost240927120001,4,negative,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,control,True,30,negative,7,31,0.22130685049939708
200,localhost240927120001,4,negative,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,control,True,31,negative,7,31,0.18740560297210543
