Metadata_reference_index,Metadata_plate_barcode,Metadata_WellRow,Metadata_WellCol,Metadata_heart_number,Metadata_cell_type,Metadata_heart_failure_type,Metadata_treatment,Metadata_Pathway,Metadata_Well,n_pos_pairs,n_total_pairs,average_precision
-1,localhost240926150001,F,11,19,failing,dilated_cardiomyopathy,UCD-0001801,Endocrinology & Hormones,F11,3,35,1.0
-1,localhost240926150001,G,2,19,failing,dilated_cardiomyopathy,UCD-0159265,Neuronal Signaling,G02,3,35,0.28044871794871795
-1,localhost240926150001,G,3,19,failing,dilated_cardiomyopathy,UCD-0159271,Others,G03,3,35,0.7192982456140351
-1,localhost240926150001,G,4,19,failing,dilated_cardiomyopathy,UCD-0001835,Others,G04,3,35,0.7222222222222223
-1,localhost240926150001,G,5,19,failing,dilated_cardiomyopathy,UCD-0159280,Others,G05,3,35,0.8666666666666667
-1,localhost240926150001,G,6,19,failing,dilated_cardiomyopathy,UCD-0159286,Others,G06,3,35,0.7166666666666667
-1,localhost240926150001,G,7,19,failing,dilated_cardiomyopathy,UCD-0018131,Angiogenesis,G07,3,35,1.0
-1,localhost240926150001,G,8,19,failing,dilated_cardiomyopathy,UCD-0001024,Neuronal Signaling,G08,3,35,0.31216931216931215
-1,localhost240926150001,G,9,19,failing,dilated_cardiomyopathy,UCD-0001829,PI3K/Akt/mTOR,G09,3,35,0.8055555555555555
-1,localhost240926150001,G,10,19,failing,dilated_cardiomyopathy,UCD-0159259,PI3K/Akt/mTOR,G10,3,35,0.6388888888888888
-1,localhost240926150001,G,11,19,failing,dilated_cardiomyopathy,UCD-0001842,Neuronal Signaling,G11,3,35,0.625
0,localhost240927060001,B,2,7,healthy,,DMSO,,B02,24,212,0.5771637356759579
-1,localhost240927060001,B,3,19,failing,dilated_cardiomyopathy,UCD-0159256,Apoptosis,B03,3,35,1.0
-1,localhost240927060001,B,4,19,failing,dilated_cardiomyopathy,UCD-0001766,Angiogenesis,B04,3,35,1.0
3,localhost240927060001,B,5,7,healthy,,DMSO,,B05,24,212,0.5482727271817917
-1,localhost240927060001,B,6,19,failing,dilated_cardiomyopathy,UCD-0159262,Others,B06,3,35,1.0
-1,localhost240927060001,B,7,19,failing,dilated_cardiomyopathy,UCD-0001915,Others,B07,3,35,1.0
6,localhost240927060001,B,8,7,healthy,,DMSO,,B08,24,212,0.5623472640646594
-1,localhost240927060001,B,9,19,failing,dilated_cardiomyopathy,UCD-0001783,Others,B09,1,33,1.0
-1,localhost240927060001,B,10,19,failing,dilated_cardiomyopathy,UCD-0159279,Others,B10,3,35,1.0
9,localhost240927060001,B,11,7,healthy,,DMSO,,B11,24,212,0.4096483809409012
-1,localhost240927060001,C,2,19,failing,dilated_cardiomyopathy,UCD-0159283,Endocrinology & Hormones,C02,3,35,1.0
-1,localhost240927060001,C,3,19,failing,dilated_cardiomyopathy,UCD-0001040,Endocrinology & Hormones,C03,3,35,1.0
-1,localhost240927060001,C,4,19,failing,dilated_cardiomyopathy,UCD-0018091,GPCR & G Protein,C04,1,33,1.0
-1,localhost240927060001,C,5,19,failing,dilated_cardiomyopathy,UCD-0000450,Neuronal Signaling,C05,3,35,1.0
-1,localhost240927060001,C,6,19,failing,dilated_cardiomyopathy,UCD-0159257,DNA Damage,C06,3,35,1.0
-1,localhost240927060001,C,7,19,failing,dilated_cardiomyopathy,UCD-0001810,DNA Damage,C07,3,35,1.0
-1,localhost240927060001,C,8,19,failing,dilated_cardiomyopathy,UCD-0159263,Others,C08,3,35,1.0
-1,localhost240927060001,C,9,19,failing,dilated_cardiomyopathy,UCD-0159269,Others,C09,3,35,1.0
-1,localhost240927060001,C,10,19,failing,dilated_cardiomyopathy,UCD-0159273,Others,C10,3,35,1.0
-1,localhost240927060001,D,2,19,failing,dilated_cardiomyopathy,UCD-0159284,Stem Cells &  Wnt,D02,3,35,1.0
-1,localhost240927060001,D,3,19,failing,dilated_cardiomyopathy,UCD-0017999,Endocrinology & Hormones,D03,3,35,1.0
-1,localhost240927060001,D,5,19,failing,dilated_cardiomyopathy,UCD-0001014,Neuronal Signaling,D05,3,35,1.0
-1,localhost240927060001,D,6,19,failing,dilated_cardiomyopathy,UCD-0159258,,D06,3,35,1.0
-1,localhost240927060001,D,7,19,failing,dilated_cardiomyopathy,UCD-0159261,Others,D07,3,35,1.0
-1,localhost240927060001,D,9,19,failing,dilated_cardiomyopathy,UCD-0001775,Others,D09,3,35,1.0
-1,localhost240927060001,D,10,19,failing,dilated_cardiomyopathy,UCD-0159274,Others,D10,3,35,1.0
26,localhost240927060001,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,24,212,0.31872830773107647
-1,localhost240927060001,E,3,19,failing,dilated_cardiomyopathy,UCD-0159285,DNA Damage,E03,3,35,1.0
-1,localhost240927060001,E,4,19,failing,dilated_cardiomyopathy,UCD-0159289,Metabolism,E04,3,35,0.27136752136752135
29,localhost240927060001,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,24,212,0.20946438693549926
-1,localhost240927060001,E,6,19,failing,dilated_cardiomyopathy,UCD-0018179,MAPK,E06,3,35,1.0
-1,localhost240927060001,E,7,19,failing,dilated_cardiomyopathy,UCD-0001016,Neuronal Signaling,E07,3,35,1.0
32,localhost240927060001,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,24,212,0.33412741034430343
-1,localhost240927060001,E,9,19,failing,dilated_cardiomyopathy,UCD-0001804,,E09,3,35,1.0
-1,localhost240927060001,E,10,19,failing,dilated_cardiomyopathy,UCD-0018207,Neuronal Signaling,E10,3,35,1.0
35,localhost240927060001,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,24,212,0.2754768862854019
-1,localhost240927060001,F,2,19,failing,dilated_cardiomyopathy,UCD-0001844,Others,F02,3,35,1.0
-1,localhost240927060001,F,3,19,failing,dilated_cardiomyopathy,UCD-0159270,Others,F03,3,35,0.7916666666666666
-1,localhost240927060001,F,4,19,failing,dilated_cardiomyopathy,UCD-0159275,Others,F04,3,35,0.6388888888888888
-1,localhost240927060001,F,6,19,failing,dilated_cardiomyopathy,UCD-0001613,Endocrinology & Hormones,F06,3,35,0.21216931216931215
-1,localhost240927060001,F,7,19,failing,dilated_cardiomyopathy,UCD-0001921,Epigenetics,F07,3,35,0.7555555555555555
-1,localhost240927060001,F,8,19,failing,dilated_cardiomyopathy,UCD-0159290,PI3K/Akt/mTOR,F08,2,34,1.0
-1,localhost240927060001,F,9,19,failing,dilated_cardiomyopathy,UCD-0159293,Others,F09,3,35,0.2111111111111111
-1,localhost240927060001,F,10,19,failing,dilated_cardiomyopathy,UCD-0001808,MAPK,F10,3,35,1.0
-1,localhost240927060001,F,11,19,failing,dilated_cardiomyopathy,UCD-0001801,Endocrinology & Hormones,F11,3,35,1.0
-1,localhost240927060001,G,2,19,failing,dilated_cardiomyopathy,UCD-0159265,Neuronal Signaling,G02,3,35,0.7142857142857143
-1,localhost240927060001,G,3,19,failing,dilated_cardiomyopathy,UCD-0159271,Others,G03,3,35,0.7435897435897436
-1,localhost240927060001,G,4,19,failing,dilated_cardiomyopathy,UCD-0001835,Others,G04,3,35,0.7254901960784315
-1,localhost240927060001,G,5,19,failing,dilated_cardiomyopathy,UCD-0159280,Others,G05,3,35,0.8666666666666667
-1,localhost240927060001,G,6,19,failing,dilated_cardiomyopathy,UCD-0159286,Others,G06,3,35,0.10736396220267187
-1,localhost240927060001,G,7,19,failing,dilated_cardiomyopathy,UCD-0018131,Angiogenesis,G07,3,35,1.0
-1,localhost240927060001,G,8,19,failing,dilated_cardiomyopathy,UCD-0001024,Neuronal Signaling,G08,3,35,0.7555555555555555
-1,localhost240927060001,G,9,19,failing,dilated_cardiomyopathy,UCD-0001829,PI3K/Akt/mTOR,G09,3,35,0.5888888888888889
-1,localhost240927060001,G,10,19,failing,dilated_cardiomyopathy,UCD-0159259,PI3K/Akt/mTOR,G10,3,35,0.7222222222222223
-1,localhost240927060001,G,11,19,failing,dilated_cardiomyopathy,UCD-0001842,Neuronal Signaling,G11,3,35,0.7222222222222223
0,localhost240927120001,B,2,7,healthy,,DMSO,,B02,24,212,0.5594271992423471
-1,localhost240927120001,B,3,19,failing,dilated_cardiomyopathy,UCD-0159256,Apoptosis,B03,3,35,1.0
-1,localhost240927120001,B,4,19,failing,dilated_cardiomyopathy,UCD-0001766,Angiogenesis,B04,3,35,1.0
3,localhost240927120001,B,5,7,healthy,,DMSO,,B05,24,212,0.5579065268094358
-1,localhost240927120001,B,6,19,failing,dilated_cardiomyopathy,UCD-0159262,Others,B06,3,35,1.0
-1,localhost240927120001,B,7,19,failing,dilated_cardiomyopathy,UCD-0001915,Others,B07,3,35,1.0
6,localhost240927120001,B,8,7,healthy,,DMSO,,B08,24,212,0.5470921718250689
-1,localhost240927120001,B,10,19,failing,dilated_cardiomyopathy,UCD-0159279,Others,B10,3,35,1.0
8,localhost240927120001,B,11,7,healthy,,DMSO,,B11,24,212,0.48449256004109365
-1,localhost240927120001,C,2,19,failing,dilated_cardiomyopathy,UCD-0159283,Endocrinology & Hormones,C02,3,35,1.0
-1,localhost240927120001,C,3,19,failing,dilated_cardiomyopathy,UCD-0001040,Endocrinology & Hormones,C03,3,35,1.0
-1,localhost240927120001,C,4,19,failing,dilated_cardiomyopathy,UCD-0018091,GPCR & G Protein,C04,1,33,1.0
-1,localhost240927120001,C,5,19,failing,dilated_cardiomyopathy,UCD-0000450,Neuronal Signaling,C05,3,35,1.0
-1,localhost240927120001,C,6,19,failing,dilated_cardiomyopathy,UCD-0159257,DNA Damage,C06,3,35,1.0
-1,localhost240927120001,C,7,19,failing,dilated_cardiomyopathy,UCD-0001810,DNA Damage,C07,3,35,1.0
-1,localhost240927120001,C,8,19,failing,dilated_cardiomyopathy,UCD-0159263,Others,C08,3,35,1.0
-1,localhost240927120001,C,9,19,failing,dilated_cardiomyopathy,UCD-0159269,Others,C09,3,35,1.0
-1,localhost240927120001,C,10,19,failing,dilated_cardiomyopathy,UCD-0159273,Others,C10,3,35,0.6428571428571429
-1,localhost240927120001,D,2,19,failing,dilated_cardiomyopathy,UCD-0159284,Stem Cells &  Wnt,D02,3,35,1.0
-1,localhost240927120001,D,3,19,failing,dilated_cardiomyopathy,UCD-0017999,Endocrinology & Hormones,D03,3,35,1.0
-1,localhost240927120001,D,5,19,failing,dilated_cardiomyopathy,UCD-0001014,Neuronal Signaling,D05,3,35,1.0
-1,localhost240927120001,D,6,19,failing,dilated_cardiomyopathy,UCD-0159258,,D06,3,35,1.0
-1,localhost240927120001,D,7,19,failing,dilated_cardiomyopathy,UCD-0159261,Others,D07,3,35,1.0
-1,localhost240927120001,D,9,19,failing,dilated_cardiomyopathy,UCD-0001775,Others,D09,3,35,1.0
-1,localhost240927120001,D,10,19,failing,dilated_cardiomyopathy,UCD-0159274,Others,D10,3,35,1.0
-1,localhost240927120001,D,11,19,failing,dilated_cardiomyopathy,UCD-0001792,Others,D11,1,33,1.0
26,localhost240927120001,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,24,212,0.4265553183364534
-1,localhost240927120001,E,3,19,failing,dilated_cardiomyopathy,UCD-0159285,DNA Damage,E03,3,35,1.0
-1,localhost240927120001,E,4,19,failing,dilated_cardiomyopathy,UCD-0159289,Metabolism,E04,3,35,0.3547008547008547
29,localhost240927120001,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,24,212,0.17815488635826826
-1,localhost240927120001,E,6,19,failing,dilated_cardiomyopathy,UCD-0018179,MAPK,E06,3,35,1.0
-1,localhost240927120001,E,7,19,failing,dilated_cardiomyopathy,UCD-0001016,Neuronal Signaling,E07,3,35,1.0
32,localhost240927120001,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,24,212,0.35432426613224693
-1,localhost240927120001,E,9,19,failing,dilated_cardiomyopathy,UCD-0001804,,E09,3,35,1.0
-1,localhost240927120001,E,10,19,failing,dilated_cardiomyopathy,UCD-0018207,Neuronal Signaling,E10,3,35,1.0
35,localhost240927120001,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,24,212,0.3432585139420297
-1,localhost240927120001,F,2,19,failing,dilated_cardiomyopathy,UCD-0001844,Others,F02,3,35,1.0
-1,localhost240927120001,F,3,19,failing,dilated_cardiomyopathy,UCD-0159270,Others,F03,3,35,1.0
-1,localhost240927120001,F,4,19,failing,dilated_cardiomyopathy,UCD-0159275,Others,F04,3,35,0.5111111111111111
-1,localhost240927120001,F,6,19,failing,dilated_cardiomyopathy,UCD-0001613,Endocrinology & Hormones,F06,3,35,0.25326797385620914
-1,localhost240927120001,F,7,19,failing,dilated_cardiomyopathy,UCD-0001921,Epigenetics,F07,3,35,0.7575757575757575
-1,localhost240927120001,F,8,19,failing,dilated_cardiomyopathy,UCD-0159290,PI3K/Akt/mTOR,F08,2,34,1.0
-1,localhost240927120001,F,9,19,failing,dilated_cardiomyopathy,UCD-0159293,Others,F09,3,35,0.5526315789473685
-1,localhost240927120001,F,10,19,failing,dilated_cardiomyopathy,UCD-0001808,MAPK,F10,3,35,1.0
-1,localhost240927120001,F,11,19,failing,dilated_cardiomyopathy,UCD-0001801,Endocrinology & Hormones,F11,3,35,1.0
-1,localhost240927120001,G,2,19,failing,dilated_cardiomyopathy,UCD-0159265,Neuronal Signaling,G02,3,35,0.7166666666666667
-1,localhost240927120001,G,3,19,failing,dilated_cardiomyopathy,UCD-0159271,Others,G03,3,35,0.7435897435897436
-1,localhost240927120001,G,4,19,failing,dilated_cardiomyopathy,UCD-0001835,Others,G04,3,35,0.8333333333333334
-1,localhost240927120001,G,5,19,failing,dilated_cardiomyopathy,UCD-0159280,Others,G05,3,35,0.15782828282828285
-1,localhost240927120001,G,6,19,failing,dilated_cardiomyopathy,UCD-0159286,Others,G06,3,35,0.6969696969696969
-1,localhost240927120001,G,7,19,failing,dilated_cardiomyopathy,UCD-0018131,Angiogenesis,G07,3,35,1.0
-1,localhost240927120001,G,8,19,failing,dilated_cardiomyopathy,UCD-0001024,Neuronal Signaling,G08,3,35,0.37777777777777777
-1,localhost240927120001,G,9,19,failing,dilated_cardiomyopathy,UCD-0001829,PI3K/Akt/mTOR,G09,3,35,0.8055555555555555
-1,localhost240927120001,G,10,19,failing,dilated_cardiomyopathy,UCD-0159259,PI3K/Akt/mTOR,G10,3,35,0.7222222222222223
-1,localhost240927120001,G,11,19,failing,dilated_cardiomyopathy,UCD-0001842,Neuronal Signaling,G11,3,35,0.8333333333333334
0,localhost240928120001,B,2,7,healthy,,DMSO,,B02,24,212,0.5726275689317549
-1,localhost240928120001,B,3,19,failing,dilated_cardiomyopathy,UCD-0159256,Apoptosis,B03,3,35,1.0
-1,localhost240928120001,B,4,19,failing,dilated_cardiomyopathy,UCD-0001766,Angiogenesis,B04,3,35,1.0
3,localhost240928120001,B,5,7,healthy,,DMSO,,B05,24,212,0.5711847884407073
-1,localhost240928120001,B,6,19,failing,dilated_cardiomyopathy,UCD-0159262,Others,B06,3,35,1.0
-1,localhost240928120001,B,7,19,failing,dilated_cardiomyopathy,UCD-0001915,Others,B07,3,35,1.0
6,localhost240928120001,B,8,7,healthy,,DMSO,,B08,24,212,0.5466541025996454
-1,localhost240928120001,B,9,19,failing,dilated_cardiomyopathy,UCD-0001783,Others,B09,1,33,0.2
-1,localhost240928120001,B,10,19,failing,dilated_cardiomyopathy,UCD-0159279,Others,B10,3,35,1.0
9,localhost240928120001,B,11,7,healthy,,DMSO,,B11,24,212,0.31377183888807786
-1,localhost240928120001,C,2,19,failing,dilated_cardiomyopathy,UCD-0159283,Endocrinology & Hormones,C02,3,35,1.0
-1,localhost240928120001,C,3,19,failing,dilated_cardiomyopathy,UCD-0001040,Endocrinology & Hormones,C03,3,35,1.0
-1,localhost240928120001,C,5,19,failing,dilated_cardiomyopathy,UCD-0000450,Neuronal Signaling,C05,3,35,1.0
-1,localhost240928120001,C,6,19,failing,dilated_cardiomyopathy,UCD-0159257,DNA Damage,C06,3,35,1.0
-1,localhost240928120001,C,7,19,failing,dilated_cardiomyopathy,UCD-0001810,DNA Damage,C07,3,35,1.0
-1,localhost240928120001,C,8,19,failing,dilated_cardiomyopathy,UCD-0159263,Others,C08,3,35,1.0
-1,localhost240928120001,C,9,19,failing,dilated_cardiomyopathy,UCD-0159269,Others,C09,3,35,1.0
-1,localhost240928120001,C,10,19,failing,dilated_cardiomyopathy,UCD-0159273,Others,C10,3,35,1.0
-1,localhost240928120001,D,2,19,failing,dilated_cardiomyopathy,UCD-0159284,Stem Cells &  Wnt,D02,3,35,1.0
-1,localhost240928120001,D,3,19,failing,dilated_cardiomyopathy,UCD-0017999,Endocrinology & Hormones,D03,3,35,1.0
-1,localhost240928120001,D,4,19,failing,dilated_cardiomyopathy,UCD-0000721,Neuronal Signaling,D04,0,32,
-1,localhost240928120001,D,5,19,failing,dilated_cardiomyopathy,UCD-0001014,Neuronal Signaling,D05,3,35,1.0
-1,localhost240928120001,D,6,19,failing,dilated_cardiomyopathy,UCD-0159258,,D06,3,35,1.0
-1,localhost240928120001,D,7,19,failing,dilated_cardiomyopathy,UCD-0159261,Others,D07,3,35,1.0
-1,localhost240928120001,D,8,19,failing,dilated_cardiomyopathy,UCD-0159264,Neuronal Signaling,D08,1,33,0.05555555555555555
-1,localhost240928120001,D,9,19,failing,dilated_cardiomyopathy,UCD-0001775,Others,D09,3,35,1.0
-1,localhost240928120001,D,10,19,failing,dilated_cardiomyopathy,UCD-0159274,Others,D10,3,35,1.0
27,localhost240928120001,E,2,19,failing,dilated_cardiomyopathy,DMSO,,E02,24,212,0.2870105779347184
-1,localhost240928120001,E,3,19,failing,dilated_cardiomyopathy,UCD-0159285,DNA Damage,E03,3,35,1.0
-1,localhost240928120001,E,4,19,failing,dilated_cardiomyopathy,UCD-0159289,Metabolism,E04,3,35,0.2435897435897436
30,localhost240928120001,E,5,19,failing,dilated_cardiomyopathy,DMSO,,E05,24,212,0.2584446507170722
-1,localhost240928120001,E,6,19,failing,dilated_cardiomyopathy,UCD-0018179,MAPK,E06,3,35,1.0
-1,localhost240928120001,E,7,19,failing,dilated_cardiomyopathy,UCD-0001016,Neuronal Signaling,E07,3,35,1.0
33,localhost240928120001,E,8,19,failing,dilated_cardiomyopathy,DMSO,,E08,24,212,0.27215214278436695
-1,localhost240928120001,E,9,19,failing,dilated_cardiomyopathy,UCD-0001804,,E09,3,35,1.0
-1,localhost240928120001,E,10,19,failing,dilated_cardiomyopathy,UCD-0018207,Neuronal Signaling,E10,3,35,1.0
36,localhost240928120001,E,11,19,failing,dilated_cardiomyopathy,DMSO,,E11,24,212,0.29058515480988295
-1,localhost240928120001,F,2,19,failing,dilated_cardiomyopathy,UCD-0001844,Others,F02,3,35,1.0
-1,localhost240928120001,F,3,19,failing,dilated_cardiomyopathy,UCD-0159270,Others,F03,3,35,1.0
-1,localhost240928120001,F,4,19,failing,dilated_cardiomyopathy,UCD-0159275,Others,F04,3,35,0.5333333333333333
-1,localhost240928120001,F,6,19,failing,dilated_cardiomyopathy,UCD-0001613,Endocrinology & Hormones,F06,3,35,0.2240740740740741
-1,localhost240928120001,F,7,19,failing,dilated_cardiomyopathy,UCD-0001921,Epigenetics,F07,3,35,0.7254901960784315
-1,localhost240928120001,F,9,19,failing,dilated_cardiomyopathy,UCD-0159293,Others,F09,3,35,0.712121212121212
-1,localhost240928120001,F,10,19,failing,dilated_cardiomyopathy,UCD-0001808,MAPK,F10,3,35,1.0
-1,localhost240928120001,F,11,19,failing,dilated_cardiomyopathy,UCD-0001801,Endocrinology & Hormones,F11,3,35,1.0
-1,localhost240928120001,G,2,19,failing,dilated_cardiomyopathy,UCD-0159265,Neuronal Signaling,G02,3,35,0.7435897435897436
-1,localhost240928120001,G,3,19,failing,dilated_cardiomyopathy,UCD-0159271,Others,G03,3,35,0.8333333333333334
-1,localhost240928120001,G,4,19,failing,dilated_cardiomyopathy,UCD-0001835,Others,G04,3,35,1.0
-1,localhost240928120001,G,5,19,failing,dilated_cardiomyopathy,UCD-0159280,Others,G05,3,35,0.7222222222222222
-1,localhost240928120001,G,6,19,failing,dilated_cardiomyopathy,UCD-0159286,Others,G06,3,35,0.4225108225108225
-1,localhost240928120001,G,7,19,failing,dilated_cardiomyopathy,UCD-0018131,Angiogenesis,G07,3,35,1.0
-1,localhost240928120001,G,8,19,failing,dilated_cardiomyopathy,UCD-0001024,Neuronal Signaling,G08,3,35,0.46060606060606063
-1,localhost240928120001,G,9,19,failing,dilated_cardiomyopathy,UCD-0001829,PI3K/Akt/mTOR,G09,3,35,1.0
-1,localhost240928120001,G,10,19,failing,dilated_cardiomyopathy,UCD-0159259,PI3K/Akt/mTOR,G10,3,35,0.7222222222222223
-1,localhost240928120001,G,11,19,failing,dilated_cardiomyopathy,UCD-0001842,Neuronal Signaling,G11,3,35,0.7222222222222223
