Metadata_reference_index,Metadata_plate_barcode,Metadata_WellRow,Metadata_WellCol,Metadata_heart_number,Metadata_cell_type,Metadata_heart_failure_type,Metadata_treatment,Metadata_Pathway,Metadata_Well,n_pos_pairs,n_total_pairs,average_precision
24,localhost240926150001,D,10,19,failing,dilated_cardiomyopathy,UCD-0159274,Others,D10,3,217,0.6858974358974358
25,localhost240926150001,D,11,19,failing,dilated_cardiomyopathy,UCD-0001792,Others,D11,1,217,0.06666666666666667
27,localhost240926150001,E,3,19,failing,dilated_cardiomyopathy,UCD-0159285,DNA Damage,E03,3,218,1.0
28,localhost240926150001,E,4,19,failing,dilated_cardiomyopathy,UCD-0159289,Metabolism,E04,3,218,0.1301106301106301
30,localhost240926150001,E,6,19,failing,dilated_cardiomyopathy,UCD-0018179,MAPK,E06,3,218,1.0
31,localhost240926150001,E,7,19,failing,dilated_cardiomyopathy,UCD-0001016,Neuronal Signaling,E07,3,218,1.0
33,localhost240926150001,E,9,19,failing,dilated_cardiomyopathy,UCD-0001804,,E09,3,218,0.7000000000000001
34,localhost240926150001,E,10,19,failing,dilated_cardiomyopathy,UCD-0018207,Neuronal Signaling,E10,3,218,0.8055555555555555
36,localhost240926150001,F,2,19,failing,dilated_cardiomyopathy,UCD-0001844,Others,F02,3,218,1.0
37,localhost240926150001,F,3,19,failing,dilated_cardiomyopathy,UCD-0159270,Others,F03,3,218,0.8333333333333334
38,localhost240926150001,F,4,19,failing,dilated_cardiomyopathy,UCD-0159275,Others,F04,3,218,0.5873015873015873
39,localhost240926150001,F,6,19,failing,dilated_cardiomyopathy,UCD-0001613,Endocrinology & Hormones,F06,3,218,0.32040816326530613
40,localhost240926150001,F,7,19,failing,dilated_cardiomyopathy,UCD-0001921,Epigenetics,F07,3,218,0.6752136752136751
41,localhost240926150001,F,8,19,failing,dilated_cardiomyopathy,UCD-0159290,PI3K/Akt/mTOR,F08,2,218,0.8333333333333333
42,localhost240926150001,F,9,19,failing,dilated_cardiomyopathy,UCD-0159293,Others,F09,3,219,0.10401252439469
43,localhost240926150001,F,10,19,failing,dilated_cardiomyopathy,UCD-0001808,MAPK,F10,3,219,1.0
44,localhost240926150001,F,11,19,failing,dilated_cardiomyopathy,UCD-0001801,Endocrinology & Hormones,F11,3,219,1.0
45,localhost240926150001,G,2,19,failing,dilated_cardiomyopathy,UCD-0159265,Neuronal Signaling,G02,3,219,0.03464988096862728
46,localhost240926150001,G,3,19,failing,dilated_cardiomyopathy,UCD-0159271,Others,G03,3,219,0.6745406824146981
47,localhost240926150001,G,4,19,failing,dilated_cardiomyopathy,UCD-0001835,Others,G04,3,219,0.5121951219512195
48,localhost240926150001,G,5,19,failing,dilated_cardiomyopathy,UCD-0159280,Others,G05,3,219,0.5166666666666667
49,localhost240926150001,G,6,19,failing,dilated_cardiomyopathy,UCD-0159286,Others,G06,3,219,0.23974358974358975
50,localhost240926150001,G,7,19,failing,dilated_cardiomyopathy,UCD-0018131,Angiogenesis,G07,3,219,1.0
51,localhost240926150001,G,8,19,failing,dilated_cardiomyopathy,UCD-0001024,Neuronal Signaling,G08,3,219,0.18068158903004639
52,localhost240926150001,G,9,19,failing,dilated_cardiomyopathy,UCD-0001829,PI3K/Akt/mTOR,G09,3,219,0.4666666666666666
53,localhost240926150001,G,10,19,failing,dilated_cardiomyopathy,UCD-0159259,PI3K/Akt/mTOR,G10,3,219,0.09064327485380118
54,localhost240926150001,G,11,19,failing,dilated_cardiomyopathy,UCD-0001842,Neuronal Signaling,G11,3,219,0.12200435729847496
1,localhost240927060001,B,3,19,failing,dilated_cardiomyopathy,UCD-0159256,Apoptosis,B03,3,219,0.8666666666666667
2,localhost240927060001,B,4,19,failing,dilated_cardiomyopathy,UCD-0001766,Angiogenesis,B04,3,219,1.0
4,localhost240927060001,B,6,19,failing,dilated_cardiomyopathy,UCD-0159262,Others,B06,3,219,1.0
5,localhost240927060001,B,7,19,failing,dilated_cardiomyopathy,UCD-0001915,Others,B07,3,219,1.0
7,localhost240927060001,B,9,19,failing,dilated_cardiomyopathy,UCD-0001783,Others,B09,1,217,0.04
8,localhost240927060001,B,10,19,failing,dilated_cardiomyopathy,UCD-0159279,Others,B10,3,217,1.0
10,localhost240927060001,C,2,19,failing,dilated_cardiomyopathy,UCD-0159283,Endocrinology & Hormones,C02,3,217,1.0
11,localhost240927060001,C,3,19,failing,dilated_cardiomyopathy,UCD-0001040,Endocrinology & Hormones,C03,3,217,0.9166666666666666
12,localhost240927060001,C,4,19,failing,dilated_cardiomyopathy,UCD-0018091,GPCR & G Protein,C04,1,216,1.0
13,localhost240927060001,C,5,19,failing,dilated_cardiomyopathy,UCD-0000450,Neuronal Signaling,C05,3,216,0.9166666666666666
14,localhost240927060001,C,6,19,failing,dilated_cardiomyopathy,UCD-0159257,DNA Damage,C06,3,216,1.0
15,localhost240927060001,C,7,19,failing,dilated_cardiomyopathy,UCD-0001810,DNA Damage,C07,3,216,1.0
16,localhost240927060001,C,8,19,failing,dilated_cardiomyopathy,UCD-0159263,Others,C08,3,216,1.0
17,localhost240927060001,C,9,19,failing,dilated_cardiomyopathy,UCD-0159269,Others,C09,3,216,1.0
18,localhost240927060001,C,10,19,failing,dilated_cardiomyopathy,UCD-0159273,Others,C10,3,216,1.0
19,localhost240927060001,D,2,19,failing,dilated_cardiomyopathy,UCD-0159284,Stem Cells &  Wnt,D02,3,216,1.0
20,localhost240927060001,D,3,19,failing,dilated_cardiomyopathy,UCD-0017999,Endocrinology & Hormones,D03,3,216,1.0
21,localhost240927060001,D,5,19,failing,dilated_cardiomyopathy,UCD-0001014,Neuronal Signaling,D05,3,217,1.0
22,localhost240927060001,D,6,19,failing,dilated_cardiomyopathy,UCD-0159258,,D06,3,217,0.6984126984126983
23,localhost240927060001,D,7,19,failing,dilated_cardiomyopathy,UCD-0159261,Others,D07,3,217,1.0
24,localhost240927060001,D,9,19,failing,dilated_cardiomyopathy,UCD-0001775,Others,D09,3,216,1.0
25,localhost240927060001,D,10,19,failing,dilated_cardiomyopathy,UCD-0159274,Others,D10,3,216,0.75
27,localhost240927060001,E,3,19,failing,dilated_cardiomyopathy,UCD-0159285,DNA Damage,E03,3,218,1.0
28,localhost240927060001,E,4,19,failing,dilated_cardiomyopathy,UCD-0159289,Metabolism,E04,3,218,0.12857142857142856
30,localhost240927060001,E,6,19,failing,dilated_cardiomyopathy,UCD-0018179,MAPK,E06,3,218,1.0
31,localhost240927060001,E,7,19,failing,dilated_cardiomyopathy,UCD-0001016,Neuronal Signaling,E07,3,218,1.0
33,localhost240927060001,E,9,19,failing,dilated_cardiomyopathy,UCD-0001804,,E09,3,218,0.8666666666666667
34,localhost240927060001,E,10,19,failing,dilated_cardiomyopathy,UCD-0018207,Neuronal Signaling,E10,3,218,0.8666666666666667
36,localhost240927060001,F,2,19,failing,dilated_cardiomyopathy,UCD-0001844,Others,F02,3,218,1.0
37,localhost240927060001,F,3,19,failing,dilated_cardiomyopathy,UCD-0159270,Others,F03,3,218,0.27485380116959063
38,localhost240927060001,F,4,19,failing,dilated_cardiomyopathy,UCD-0159275,Others,F04,3,218,0.3833333333333333
39,localhost240927060001,F,6,19,failing,dilated_cardiomyopathy,UCD-0001613,Endocrinology & Hormones,F06,3,218,0.06810872497147007
40,localhost240927060001,F,7,19,failing,dilated_cardiomyopathy,UCD-0001921,Epigenetics,F07,3,218,0.08033429984649497
41,localhost240927060001,F,8,19,failing,dilated_cardiomyopathy,UCD-0159290,PI3K/Akt/mTOR,F08,2,218,0.6
42,localhost240927060001,F,9,19,failing,dilated_cardiomyopathy,UCD-0159293,Others,F09,3,219,0.028454184704184704
43,localhost240927060001,F,10,19,failing,dilated_cardiomyopathy,UCD-0001808,MAPK,F10,3,219,1.0
44,localhost240927060001,F,11,19,failing,dilated_cardiomyopathy,UCD-0001801,Endocrinology & Hormones,F11,3,219,1.0
45,localhost240927060001,G,2,19,failing,dilated_cardiomyopathy,UCD-0159265,Neuronal Signaling,G02,3,219,0.4740196078431373
46,localhost240927060001,G,3,19,failing,dilated_cardiomyopathy,UCD-0159271,Others,G03,3,219,0.5166666666666667
47,localhost240927060001,G,4,19,failing,dilated_cardiomyopathy,UCD-0001835,Others,G04,3,219,0.6798245614035089
48,localhost240927060001,G,5,19,failing,dilated_cardiomyopathy,UCD-0159280,Others,G05,3,219,0.7254901960784315
49,localhost240927060001,G,6,19,failing,dilated_cardiomyopathy,UCD-0159286,Others,G06,3,219,0.010921177587844255
50,localhost240927060001,G,7,19,failing,dilated_cardiomyopathy,UCD-0018131,Angiogenesis,G07,3,219,1.0
51,localhost240927060001,G,8,19,failing,dilated_cardiomyopathy,UCD-0001024,Neuronal Signaling,G08,3,219,0.19365079365079366
52,localhost240927060001,G,9,19,failing,dilated_cardiomyopathy,UCD-0001829,PI3K/Akt/mTOR,G09,3,219,0.5555555555555555
53,localhost240927060001,G,10,19,failing,dilated_cardiomyopathy,UCD-0159259,PI3K/Akt/mTOR,G10,3,219,0.47697594501718216
54,localhost240927060001,G,11,19,failing,dilated_cardiomyopathy,UCD-0001842,Neuronal Signaling,G11,3,219,0.6839080459770116
1,localhost240927120001,B,3,19,failing,dilated_cardiomyopathy,UCD-0159256,Apoptosis,B03,3,219,1.0
2,localhost240927120001,B,4,19,failing,dilated_cardiomyopathy,UCD-0001766,Angiogenesis,B04,3,219,1.0
4,localhost240927120001,B,6,19,failing,dilated_cardiomyopathy,UCD-0159262,Others,B06,3,219,1.0
5,localhost240927120001,B,7,19,failing,dilated_cardiomyopathy,UCD-0001915,Others,B07,3,219,1.0
7,localhost240927120001,B,10,19,failing,dilated_cardiomyopathy,UCD-0159279,Others,B10,3,217,1.0
9,localhost240927120001,C,2,19,failing,dilated_cardiomyopathy,UCD-0159283,Endocrinology & Hormones,C02,3,217,1.0
10,localhost240927120001,C,3,19,failing,dilated_cardiomyopathy,UCD-0001040,Endocrinology & Hormones,C03,3,217,1.0
11,localhost240927120001,C,4,19,failing,dilated_cardiomyopathy,UCD-0018091,GPCR & G Protein,C04,1,216,1.0
12,localhost240927120001,C,5,19,failing,dilated_cardiomyopathy,UCD-0000450,Neuronal Signaling,C05,3,217,0.7000000000000001
13,localhost240927120001,C,6,19,failing,dilated_cardiomyopathy,UCD-0159257,DNA Damage,C06,3,217,1.0
14,localhost240927120001,C,7,19,failing,dilated_cardiomyopathy,UCD-0001810,DNA Damage,C07,3,217,1.0
15,localhost240927120001,C,8,19,failing,dilated_cardiomyopathy,UCD-0159263,Others,C08,3,217,1.0
16,localhost240927120001,C,9,19,failing,dilated_cardiomyopathy,UCD-0159269,Others,C09,3,217,1.0
17,localhost240927120001,C,10,19,failing,dilated_cardiomyopathy,UCD-0159273,Others,C10,3,217,0.5916666666666667
18,localhost240927120001,D,2,19,failing,dilated_cardiomyopathy,UCD-0159284,Stem Cells &  Wnt,D02,3,217,1.0
19,localhost240927120001,D,3,19,failing,dilated_cardiomyopathy,UCD-0017999,Endocrinology & Hormones,D03,3,217,1.0
20,localhost240927120001,D,5,19,failing,dilated_cardiomyopathy,UCD-0001014,Neuronal Signaling,D05,3,216,0.7000000000000001
21,localhost240927120001,D,6,19,failing,dilated_cardiomyopathy,UCD-0159258,,D06,3,216,0.6428571428571429
22,localhost240927120001,D,7,19,failing,dilated_cardiomyopathy,UCD-0159261,Others,D07,3,216,1.0
23,localhost240927120001,D,9,19,failing,dilated_cardiomyopathy,UCD-0001775,Others,D09,3,217,1.0
24,localhost240927120001,D,10,19,failing,dilated_cardiomyopathy,UCD-0159274,Others,D10,3,217,1.0
25,localhost240927120001,D,11,19,failing,dilated_cardiomyopathy,UCD-0001792,Others,D11,1,217,0.2
27,localhost240927120001,E,3,19,failing,dilated_cardiomyopathy,UCD-0159285,DNA Damage,E03,3,218,1.0
28,localhost240927120001,E,4,19,failing,dilated_cardiomyopathy,UCD-0159289,Metabolism,E04,3,218,0.28448275862068967
30,localhost240927120001,E,6,19,failing,dilated_cardiomyopathy,UCD-0018179,MAPK,E06,3,218,1.0
31,localhost240927120001,E,7,19,failing,dilated_cardiomyopathy,UCD-0001016,Neuronal Signaling,E07,3,218,1.0
33,localhost240927120001,E,9,19,failing,dilated_cardiomyopathy,UCD-0001804,,E09,3,218,1.0
34,localhost240927120001,E,10,19,failing,dilated_cardiomyopathy,UCD-0018207,Neuronal Signaling,E10,3,218,1.0
36,localhost240927120001,F,2,19,failing,dilated_cardiomyopathy,UCD-0001844,Others,F02,3,218,1.0
37,localhost240927120001,F,3,19,failing,dilated_cardiomyopathy,UCD-0159270,Others,F03,3,218,0.8095238095238096
38,localhost240927120001,F,4,19,failing,dilated_cardiomyopathy,UCD-0159275,Others,F04,3,218,0.40202702702702703
39,localhost240927120001,F,6,19,failing,dilated_cardiomyopathy,UCD-0001613,Endocrinology & Hormones,F06,3,218,0.0859126984126984
40,localhost240927120001,F,7,19,failing,dilated_cardiomyopathy,UCD-0001921,Epigenetics,F07,3,218,0.6830601092896176
41,localhost240927120001,F,8,19,failing,dilated_cardiomyopathy,UCD-0159290,PI3K/Akt/mTOR,F08,2,218,0.6666666666666666
42,localhost240927120001,F,9,19,failing,dilated_cardiomyopathy,UCD-0159293,Others,F09,3,219,0.2849720223820943
43,localhost240927120001,F,10,19,failing,dilated_cardiomyopathy,UCD-0001808,MAPK,F10,3,219,1.0
44,localhost240927120001,F,11,19,failing,dilated_cardiomyopathy,UCD-0001801,Endocrinology & Hormones,F11,3,219,1.0
45,localhost240927120001,G,2,19,failing,dilated_cardiomyopathy,UCD-0159265,Neuronal Signaling,G02,3,219,0.6740196078431372
46,localhost240927120001,G,3,19,failing,dilated_cardiomyopathy,UCD-0159271,Others,G03,3,219,0.57168458781362
47,localhost240927120001,G,4,19,failing,dilated_cardiomyopathy,UCD-0001835,Others,G04,3,219,0.5925925925925926
48,localhost240927120001,G,5,19,failing,dilated_cardiomyopathy,UCD-0159280,Others,G05,3,219,0.053193813692900736
49,localhost240927120001,G,6,19,failing,dilated_cardiomyopathy,UCD-0159286,Others,G06,3,219,0.3629027401385125
50,localhost240927120001,G,7,19,failing,dilated_cardiomyopathy,UCD-0018131,Angiogenesis,G07,3,219,0.9166666666666666
51,localhost240927120001,G,8,19,failing,dilated_cardiomyopathy,UCD-0001024,Neuronal Signaling,G08,3,219,0.21003584229390682
52,localhost240927120001,G,9,19,failing,dilated_cardiomyopathy,UCD-0001829,PI3K/Akt/mTOR,G09,3,219,0.5555555555555555
53,localhost240927120001,G,10,19,failing,dilated_cardiomyopathy,UCD-0159259,PI3K/Akt/mTOR,G10,3,219,0.5676037483266398
54,localhost240927120001,G,11,19,failing,dilated_cardiomyopathy,UCD-0001842,Neuronal Signaling,G11,3,219,0.7666666666666666
1,localhost240928120001,B,3,19,failing,dilated_cardiomyopathy,UCD-0159256,Apoptosis,B03,3,219,1.0
2,localhost240928120001,B,4,19,failing,dilated_cardiomyopathy,UCD-0001766,Angiogenesis,B04,3,219,1.0
4,localhost240928120001,B,6,19,failing,dilated_cardiomyopathy,UCD-0159262,Others,B06,3,219,1.0
5,localhost240928120001,B,7,19,failing,dilated_cardiomyopathy,UCD-0001915,Others,B07,3,219,1.0
7,localhost240928120001,B,9,19,failing,dilated_cardiomyopathy,UCD-0001783,Others,B09,1,217,0.029411764705882353
8,localhost240928120001,B,10,19,failing,dilated_cardiomyopathy,UCD-0159279,Others,B10,3,217,1.0
10,localhost240928120001,C,2,19,failing,dilated_cardiomyopathy,UCD-0159283,Endocrinology & Hormones,C02,3,217,1.0
11,localhost240928120001,C,3,19,failing,dilated_cardiomyopathy,UCD-0001040,Endocrinology & Hormones,C03,3,217,1.0
12,localhost240928120001,C,5,19,failing,dilated_cardiomyopathy,UCD-0000450,Neuronal Signaling,C05,3,217,0.8055555555555555
13,localhost240928120001,C,6,19,failing,dilated_cardiomyopathy,UCD-0159257,DNA Damage,C06,3,217,1.0
14,localhost240928120001,C,7,19,failing,dilated_cardiomyopathy,UCD-0001810,DNA Damage,C07,3,217,1.0
15,localhost240928120001,C,8,19,failing,dilated_cardiomyopathy,UCD-0159263,Others,C08,3,217,1.0
16,localhost240928120001,C,9,19,failing,dilated_cardiomyopathy,UCD-0159269,Others,C09,3,217,1.0
17,localhost240928120001,C,10,19,failing,dilated_cardiomyopathy,UCD-0159273,Others,C10,3,217,0.9166666666666666
18,localhost240928120001,D,2,19,failing,dilated_cardiomyopathy,UCD-0159284,Stem Cells &  Wnt,D02,3,217,1.0
19,localhost240928120001,D,3,19,failing,dilated_cardiomyopathy,UCD-0017999,Endocrinology & Hormones,D03,3,217,1.0
20,localhost240928120001,D,4,19,failing,dilated_cardiomyopathy,UCD-0000721,Neuronal Signaling,D04,0,216,
21,localhost240928120001,D,5,19,failing,dilated_cardiomyopathy,UCD-0001014,Neuronal Signaling,D05,3,217,0.6333333333333333
22,localhost240928120001,D,6,19,failing,dilated_cardiomyopathy,UCD-0159258,,D06,3,217,0.7222222222222222
23,localhost240928120001,D,7,19,failing,dilated_cardiomyopathy,UCD-0159261,Others,D07,3,217,1.0
24,localhost240928120001,D,8,19,failing,dilated_cardiomyopathy,UCD-0159264,Neuronal Signaling,D08,1,216,0.009615384615384616
25,localhost240928120001,D,9,19,failing,dilated_cardiomyopathy,UCD-0001775,Others,D09,3,216,0.8666666666666667
26,localhost240928120001,D,10,19,failing,dilated_cardiomyopathy,UCD-0159274,Others,D10,3,216,0.46014492753623193
28,localhost240928120001,E,3,19,failing,dilated_cardiomyopathy,UCD-0159285,DNA Damage,E03,3,216,1.0
29,localhost240928120001,E,4,19,failing,dilated_cardiomyopathy,UCD-0159289,Metabolism,E04,3,216,0.09128045157456922
31,localhost240928120001,E,6,19,failing,dilated_cardiomyopathy,UCD-0018179,MAPK,E06,3,216,1.0
32,localhost240928120001,E,7,19,failing,dilated_cardiomyopathy,UCD-0001016,Neuronal Signaling,E07,3,216,1.0
34,localhost240928120001,E,9,19,failing,dilated_cardiomyopathy,UCD-0001804,,E09,3,216,1.0
35,localhost240928120001,E,10,19,failing,dilated_cardiomyopathy,UCD-0018207,Neuronal Signaling,E10,3,216,1.0
37,localhost240928120001,F,2,19,failing,dilated_cardiomyopathy,UCD-0001844,Others,F02,3,216,1.0
38,localhost240928120001,F,3,19,failing,dilated_cardiomyopathy,UCD-0159270,Others,F03,3,216,0.7555555555555555
39,localhost240928120001,F,4,19,failing,dilated_cardiomyopathy,UCD-0159275,Others,F04,3,216,0.4109311740890688
40,localhost240928120001,F,6,19,failing,dilated_cardiomyopathy,UCD-0001613,Endocrinology & Hormones,F06,3,216,0.08308080808080807
41,localhost240928120001,F,7,19,failing,dilated_cardiomyopathy,UCD-0001921,Epigenetics,F07,3,216,0.6774193548387096
42,localhost240928120001,F,9,19,failing,dilated_cardiomyopathy,UCD-0159293,Others,F09,3,219,0.6731601731601732
43,localhost240928120001,F,10,19,failing,dilated_cardiomyopathy,UCD-0001808,MAPK,F10,3,219,1.0
44,localhost240928120001,F,11,19,failing,dilated_cardiomyopathy,UCD-0001801,Endocrinology & Hormones,F11,3,219,1.0
45,localhost240928120001,G,2,19,failing,dilated_cardiomyopathy,UCD-0159265,Neuronal Signaling,G02,3,219,0.6879432624113475
46,localhost240928120001,G,3,19,failing,dilated_cardiomyopathy,UCD-0159271,Others,G03,3,219,0.1106280193236715
47,localhost240928120001,G,4,19,failing,dilated_cardiomyopathy,UCD-0001835,Others,G04,3,219,0.21313131313131314
48,localhost240928120001,G,5,19,failing,dilated_cardiomyopathy,UCD-0159280,Others,G05,3,219,0.5526315789473685
49,localhost240928120001,G,6,19,failing,dilated_cardiomyopathy,UCD-0159286,Others,G06,3,219,0.34748490945674043
50,localhost240928120001,G,7,19,failing,dilated_cardiomyopathy,UCD-0018131,Angiogenesis,G07,3,219,1.0
51,localhost240928120001,G,8,19,failing,dilated_cardiomyopathy,UCD-0001024,Neuronal Signaling,G08,3,219,0.21988795518207283
52,localhost240928120001,G,9,19,failing,dilated_cardiomyopathy,UCD-0001829,PI3K/Akt/mTOR,G09,3,219,0.4909090909090909
53,localhost240928120001,G,10,19,failing,dilated_cardiomyopathy,UCD-0159259,PI3K/Akt/mTOR,G10,3,219,0.6776556776556776
54,localhost240928120001,G,11,19,failing,dilated_cardiomyopathy,UCD-0001842,Neuronal Signaling,G11,3,219,0.68
