original_index,Metadata_plate_barcode,Metadata_plate_name,Metadata_WellRow,Metadata_WellCol,Metadata_heart_number,Metadata_cell_type,Metadata_heart_failure_type,Metadata_treatment,Metadata_Pathway,Metadata_Well,Metadata_treatment_type,Metadata_control_type,Metadata_targeted,Metadata_reference_index,Metadata_reference_control_type,n_pos_pairs,n_total_pairs,average_precision
26,localhost240926150001,Plate_1,E,2,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E02,control,negative,False,-1,negative,23,27,0.7676971246930776
29,localhost240926150001,Plate_1,E,5,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E05,control,negative,False,-1,negative,23,27,0.9198390583432312
32,localhost240926150001,Plate_1,E,8,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E08,control,negative,False,-1,negative,23,27,0.8390694892700985
35,localhost240926150001,Plate_1,E,11,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E11,control,negative,False,-1,negative,23,27,0.9704428428998122
55,localhost240927060001,Plate_2,B,2,7,healthy,,DMSO,DMSO-positive,B02,control,positive,True,-1,negative,3,3,1.0
58,localhost240927060001,Plate_2,B,5,7,healthy,,DMSO,DMSO-positive,B05,control,positive,True,-1,negative,3,3,1.0
61,localhost240927060001,Plate_2,B,8,7,healthy,,DMSO,DMSO-positive,B08,control,positive,True,-1,negative,3,3,1.0
64,localhost240927060001,Plate_2,B,11,7,healthy,,DMSO,DMSO-positive,B11,control,positive,True,-1,negative,3,3,1.0
81,localhost240927060001,Plate_2,E,2,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E02,control,negative,True,12,negative,0,24,
84,localhost240927060001,Plate_2,E,5,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E05,control,negative,True,13,negative,0,24,
87,localhost240927060001,Plate_2,E,8,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E08,control,negative,True,14,negative,0,24,
90,localhost240927060001,Plate_2,E,11,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E11,control,negative,True,15,negative,0,24,
110,localhost240927120001,Plate_3,B,2,7,healthy,,DMSO,DMSO-positive,B02,control,positive,False,-1,negative,23,27,0.9198390583432312
113,localhost240927120001,Plate_3,B,5,7,healthy,,DMSO,DMSO-positive,B05,control,positive,False,-1,negative,23,27,0.935263538994555
116,localhost240927120001,Plate_3,B,8,7,healthy,,DMSO,DMSO-positive,B08,control,positive,False,-1,negative,23,27,0.9379693838743128
118,localhost240927120001,Plate_3,B,11,7,healthy,,DMSO,DMSO-positive,B11,control,positive,False,-1,negative,23,27,0.9719962507272667
136,localhost240927120001,Plate_3,E,2,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E02,control,negative,False,-1,negative,23,27,0.7887153894184362
139,localhost240927120001,Plate_3,E,5,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E05,control,negative,False,-1,negative,23,27,0.8636365245986618
142,localhost240927120001,Plate_3,E,8,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E08,control,negative,False,-1,negative,23,27,0.7975711902576219
145,localhost240927120001,Plate_3,E,11,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E11,control,negative,False,-1,negative,23,27,0.9368543936860959
165,localhost240928120001,Plate_4,B,2,7,healthy,,DMSO,DMSO-positive,B02,control,positive,False,-1,negative,23,27,0.9379693838743128
168,localhost240928120001,Plate_4,B,5,7,healthy,,DMSO,DMSO-positive,B05,control,positive,False,-1,negative,23,27,0.7981072744833446
171,localhost240928120001,Plate_4,B,8,7,healthy,,DMSO,DMSO-positive,B08,control,positive,False,-1,negative,23,27,0.9504899309600772
174,localhost240928120001,Plate_4,B,11,7,healthy,,DMSO,DMSO-positive,B11,control,positive,False,-1,negative,23,27,0.9453710401890126
192,localhost240928120001,Plate_4,E,2,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E02,control,negative,False,-1,negative,23,27,0.9566421907985374
195,localhost240928120001,Plate_4,E,5,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E05,control,negative,False,-1,negative,23,27,0.9170847900280295
198,localhost240928120001,Plate_4,E,8,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E08,control,negative,False,-1,negative,23,27,0.9400000733127668
201,localhost240928120001,Plate_4,E,11,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E11,control,negative,False,-1,negative,23,27,0.932134315881792
0,localhost240926150001,Plate_1,B,2,7,healthy,,DMSO,DMSO-positive,B02,control,positive,False,-1,negative,23,27,0.8503045585486461
3,localhost240926150001,Plate_1,B,5,7,healthy,,DMSO,DMSO-positive,B05,control,positive,False,-1,negative,23,27,0.9496400887392273
6,localhost240926150001,Plate_1,B,8,7,healthy,,DMSO,DMSO-positive,B08,control,positive,False,-1,negative,23,27,0.8816540861766096
8,localhost240926150001,Plate_1,B,11,7,healthy,,DMSO,DMSO-positive,B11,control,positive,False,-1,negative,23,27,0.9306299251524485
26,localhost240926150001,Plate_1,E,2,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E02,control,negative,False,-1,negative,23,27,0.8395024639149602
29,localhost240926150001,Plate_1,E,5,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E05,control,negative,False,-1,negative,23,27,0.7956324285362514
32,localhost240926150001,Plate_1,E,8,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E08,control,negative,False,-1,negative,23,27,0.8212643126912119
35,localhost240926150001,Plate_1,E,11,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E11,control,negative,False,-1,negative,23,27,0.9566863942836923
55,localhost240927060001,Plate_2,B,2,7,healthy,,DMSO,DMSO-positive,B02,control,positive,False,-1,negative,23,27,0.9097462194861342
58,localhost240927060001,Plate_2,B,5,7,healthy,,DMSO,DMSO-positive,B05,control,positive,False,-1,negative,23,27,0.9067607428050053
61,localhost240927060001,Plate_2,B,8,7,healthy,,DMSO,DMSO-positive,B08,control,positive,False,-1,negative,23,27,0.8486030792125591
64,localhost240927060001,Plate_2,B,11,7,healthy,,DMSO,DMSO-positive,B11,control,positive,False,-1,negative,23,27,0.8780435050613026
81,localhost240927060001,Plate_2,E,2,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E02,control,negative,False,-1,negative,23,27,0.8356377296154432
84,localhost240927060001,Plate_2,E,5,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E05,control,negative,False,-1,negative,23,27,0.806915708612145
87,localhost240927060001,Plate_2,E,8,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E08,control,negative,False,-1,negative,23,27,0.8337854191202994
90,localhost240927060001,Plate_2,E,11,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E11,control,negative,False,-1,negative,23,27,0.739623907546634
110,localhost240927120001,Plate_3,B,2,7,healthy,,DMSO,DMSO-positive,B02,control,positive,True,-1,negative,3,3,1.0
113,localhost240927120001,Plate_3,B,5,7,healthy,,DMSO,DMSO-positive,B05,control,positive,True,-1,negative,3,3,1.0
116,localhost240927120001,Plate_3,B,8,7,healthy,,DMSO,DMSO-positive,B08,control,positive,True,-1,negative,3,3,1.0
118,localhost240927120001,Plate_3,B,11,7,healthy,,DMSO,DMSO-positive,B11,control,positive,True,-1,negative,3,3,1.0
136,localhost240927120001,Plate_3,E,2,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E02,control,negative,True,20,negative,0,24,
139,localhost240927120001,Plate_3,E,5,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E05,control,negative,True,21,negative,0,24,
142,localhost240927120001,Plate_3,E,8,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E08,control,negative,True,22,negative,0,24,
145,localhost240927120001,Plate_3,E,11,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E11,control,negative,True,23,negative,0,24,
165,localhost240928120001,Plate_4,B,2,7,healthy,,DMSO,DMSO-positive,B02,control,positive,False,-1,negative,23,27,0.8283132241400952
168,localhost240928120001,Plate_4,B,5,7,healthy,,DMSO,DMSO-positive,B05,control,positive,False,-1,negative,23,27,0.8875848462378044
171,localhost240928120001,Plate_4,B,8,7,healthy,,DMSO,DMSO-positive,B08,control,positive,False,-1,negative,23,27,0.8728707718555377
174,localhost240928120001,Plate_4,B,11,7,healthy,,DMSO,DMSO-positive,B11,control,positive,False,-1,negative,23,27,0.8665119819040704
192,localhost240928120001,Plate_4,E,2,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E02,control,negative,False,-1,negative,23,27,0.8780026651338843
195,localhost240928120001,Plate_4,E,5,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E05,control,negative,False,-1,negative,23,27,0.8919198323058637
198,localhost240928120001,Plate_4,E,8,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E08,control,negative,False,-1,negative,23,27,0.7523038394609705
201,localhost240928120001,Plate_4,E,11,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E11,control,negative,False,-1,negative,23,27,0.9491831288399233
0,localhost240926150001,Plate_1,B,2,7,healthy,,DMSO,DMSO-positive,B02,control,positive,False,-1,negative,23,27,0.8673932547920211
3,localhost240926150001,Plate_1,B,5,7,healthy,,DMSO,DMSO-positive,B05,control,positive,False,-1,negative,23,27,0.8746697666095062
6,localhost240926150001,Plate_1,B,8,7,healthy,,DMSO,DMSO-positive,B08,control,positive,False,-1,negative,23,27,0.8736506899429817
8,localhost240926150001,Plate_1,B,11,7,healthy,,DMSO,DMSO-positive,B11,control,positive,False,-1,negative,23,27,0.8130233690676315
26,localhost240926150001,Plate_1,E,2,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E02,control,negative,False,-1,negative,23,27,0.9136700024174785
29,localhost240926150001,Plate_1,E,5,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E05,control,negative,False,-1,negative,23,27,0.880487939306143
32,localhost240926150001,Plate_1,E,8,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E08,control,negative,False,-1,negative,23,27,0.8619598829782334
35,localhost240926150001,Plate_1,E,11,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E11,control,negative,False,-1,negative,23,27,0.8589608200935434
55,localhost240927060001,Plate_2,B,2,7,healthy,,DMSO,DMSO-positive,B02,control,positive,False,-1,negative,23,27,0.9065553970820932
58,localhost240927060001,Plate_2,B,5,7,healthy,,DMSO,DMSO-positive,B05,control,positive,False,-1,negative,23,27,0.876381992981468
61,localhost240927060001,Plate_2,B,8,7,healthy,,DMSO,DMSO-positive,B08,control,positive,False,-1,negative,23,27,0.819757915377842
64,localhost240927060001,Plate_2,B,11,7,healthy,,DMSO,DMSO-positive,B11,control,positive,False,-1,negative,23,27,0.8862855943365346
81,localhost240927060001,Plate_2,E,2,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E02,control,negative,False,-1,negative,23,27,0.9075238241172857
84,localhost240927060001,Plate_2,E,5,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E05,control,negative,False,-1,negative,23,27,0.9056900274171017
87,localhost240927060001,Plate_2,E,8,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E08,control,negative,False,-1,negative,23,27,0.8962480804751548
90,localhost240927060001,Plate_2,E,11,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E11,control,negative,False,-1,negative,23,27,0.8476982390743093
110,localhost240927120001,Plate_3,B,2,7,healthy,,DMSO,DMSO-positive,B02,control,positive,False,-1,negative,23,27,0.922310263131077
113,localhost240927120001,Plate_3,B,5,7,healthy,,DMSO,DMSO-positive,B05,control,positive,False,-1,negative,23,27,0.8763422013301451
116,localhost240927120001,Plate_3,B,8,7,healthy,,DMSO,DMSO-positive,B08,control,positive,False,-1,negative,23,27,0.879073364739058
118,localhost240927120001,Plate_3,B,11,7,healthy,,DMSO,DMSO-positive,B11,control,positive,False,-1,negative,23,27,0.8077982566790528
136,localhost240927120001,Plate_3,E,2,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E02,control,negative,False,-1,negative,23,27,0.9090616132055672
139,localhost240927120001,Plate_3,E,5,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E05,control,negative,False,-1,negative,23,27,0.8881893695072367
142,localhost240927120001,Plate_3,E,8,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E08,control,negative,False,-1,negative,23,27,0.851657379062861
145,localhost240927120001,Plate_3,E,11,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E11,control,negative,False,-1,negative,23,27,0.8664407456419079
165,localhost240928120001,Plate_4,B,2,7,healthy,,DMSO,DMSO-positive,B02,control,positive,True,-1,negative,3,3,1.0
168,localhost240928120001,Plate_4,B,5,7,healthy,,DMSO,DMSO-positive,B05,control,positive,True,-1,negative,3,3,1.0
171,localhost240928120001,Plate_4,B,8,7,healthy,,DMSO,DMSO-positive,B08,control,positive,True,-1,negative,3,3,1.0
174,localhost240928120001,Plate_4,B,11,7,healthy,,DMSO,DMSO-positive,B11,control,positive,True,-1,negative,3,3,1.0
192,localhost240928120001,Plate_4,E,2,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E02,control,negative,True,28,negative,0,24,
195,localhost240928120001,Plate_4,E,5,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E05,control,negative,True,29,negative,0,24,
198,localhost240928120001,Plate_4,E,8,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E08,control,negative,True,30,negative,0,24,
201,localhost240928120001,Plate_4,E,11,19,failing,dilated_cardiomyopathy,DMSO,DMSO-negative,E11,control,negative,True,31,negative,0,24,
