Metadata_plate_barcode,Metadata_plate_name,Metadata_WellRow,Metadata_WellCol,Metadata_heart_number,Metadata_cell_type,Metadata_heart_failure_type,Metadata_treatment,Metadata_Pathway,Metadata_Well,Metadata_reference_index,n_pos_pairs,n_total_pairs,average_precision
localhost240927060001,Plate_2,E,9,19,failing,dilated_cardiomyopathy,UCD-0001804,MAPK,E09,-1,3,19,1.0
localhost240927060001,Plate_2,E,10,19,failing,dilated_cardiomyopathy,UCD-0018207,Neuronal Signaling,E10,-1,3,19,1.0
localhost240927060001,Plate_2,F,2,19,failing,dilated_cardiomyopathy,UCD-0001844,Others,F02,-1,3,19,1.0
localhost240927060001,Plate_2,F,3,19,failing,dilated_cardiomyopathy,UCD-0159270,Others,F03,-1,3,19,1.0
localhost240927060001,Plate_2,F,4,19,failing,dilated_cardiomyopathy,UCD-0159275,Others,F04,-1,3,19,1.0
localhost240927060001,Plate_2,F,6,19,failing,dilated_cardiomyopathy,UCD-0001613,Endocrinology & Hormones,F06,-1,3,19,1.0
localhost240927060001,Plate_2,F,7,19,failing,dilated_cardiomyopathy,UCD-0001921,Epigenetics,F07,-1,3,19,1.0
localhost240927060001,Plate_2,F,8,19,failing,dilated_cardiomyopathy,UCD-0159290,PI3K/Akt/mTOR,F08,-1,2,18,1.0
localhost240927060001,Plate_2,F,9,19,failing,dilated_cardiomyopathy,UCD-0159293,Others,F09,-1,3,19,0.7555555555555555
localhost240927060001,Plate_2,F,10,19,failing,dilated_cardiomyopathy,UCD-0001808,MAPK,F10,-1,3,19,1.0
localhost240927060001,Plate_2,F,11,19,failing,dilated_cardiomyopathy,UCD-0001801,Endocrinology & Hormones,F11,-1,3,19,1.0
localhost240927060001,Plate_2,G,2,19,failing,dilated_cardiomyopathy,UCD-0159265,Neuronal Signaling,G02,-1,3,19,0.8666666666666667
localhost240927060001,Plate_2,G,3,19,failing,dilated_cardiomyopathy,UCD-0159271,Others,G03,-1,3,19,1.0
localhost240927060001,Plate_2,G,4,19,failing,dilated_cardiomyopathy,UCD-0001835,Others,G04,-1,3,19,1.0
localhost240927060001,Plate_2,G,5,19,failing,dilated_cardiomyopathy,UCD-0159280,Others,G05,-1,3,19,1.0
localhost240927060001,Plate_2,G,6,19,failing,dilated_cardiomyopathy,UCD-0159286,Others,G06,-1,3,19,0.4366013071895425
localhost240927060001,Plate_2,G,7,19,failing,dilated_cardiomyopathy,UCD-0018131,Angiogenesis,G07,-1,3,19,1.0
localhost240927060001,Plate_2,G,8,19,failing,dilated_cardiomyopathy,UCD-0001024,Neuronal Signaling,G08,-1,3,19,1.0
localhost240927060001,Plate_2,G,9,19,failing,dilated_cardiomyopathy,UCD-0001829,PI3K/Akt/mTOR,G09,-1,3,19,1.0
localhost240927060001,Plate_2,G,10,19,failing,dilated_cardiomyopathy,UCD-0159259,PI3K/Akt/mTOR,G10,-1,3,19,1.0
localhost240927060001,Plate_2,G,11,19,failing,dilated_cardiomyopathy,UCD-0001842,Neuronal Signaling,G11,-1,3,19,1.0
localhost240927120001,Plate_3,B,3,19,failing,dilated_cardiomyopathy,UCD-0159256,Apoptosis,B03,-1,3,19,1.0
localhost240927120001,Plate_3,B,4,19,failing,dilated_cardiomyopathy,UCD-0001766,Angiogenesis,B04,-1,3,19,1.0
localhost240927120001,Plate_3,B,6,19,failing,dilated_cardiomyopathy,UCD-0159262,Others,B06,-1,3,19,1.0
localhost240927120001,Plate_3,B,7,19,failing,dilated_cardiomyopathy,UCD-0001915,Others,B07,-1,3,19,1.0
localhost240927120001,Plate_3,B,10,19,failing,dilated_cardiomyopathy,UCD-0159279,Others,B10,-1,3,19,1.0
localhost240927120001,Plate_3,C,2,19,failing,dilated_cardiomyopathy,UCD-0159283,Endocrinology & Hormones,C02,-1,3,19,1.0
localhost240927120001,Plate_3,C,3,19,failing,dilated_cardiomyopathy,UCD-0001040,Endocrinology & Hormones,C03,-1,3,19,1.0
localhost240927120001,Plate_3,C,4,19,failing,dilated_cardiomyopathy,UCD-0018091,GPCR & G Protein,C04,-1,1,17,1.0
localhost240927120001,Plate_3,C,5,19,failing,dilated_cardiomyopathy,UCD-0000450,Neuronal Signaling,C05,-1,3,19,1.0
localhost240927120001,Plate_3,C,6,19,failing,dilated_cardiomyopathy,UCD-0159257,DNA Damage,C06,-1,3,19,1.0
localhost240927120001,Plate_3,C,7,19,failing,dilated_cardiomyopathy,UCD-0001810,DNA Damage,C07,-1,3,19,1.0
localhost240927120001,Plate_3,C,8,19,failing,dilated_cardiomyopathy,UCD-0159263,Others,C08,-1,3,19,1.0
localhost240927120001,Plate_3,C,9,19,failing,dilated_cardiomyopathy,UCD-0159269,Others,C09,-1,3,19,1.0
localhost240927120001,Plate_3,C,10,19,failing,dilated_cardiomyopathy,UCD-0159273,Others,C10,-1,3,19,1.0
localhost240927120001,Plate_3,D,2,19,failing,dilated_cardiomyopathy,UCD-0159284,Stem Cells & Wnt,D02,-1,3,19,1.0
localhost240927120001,Plate_3,D,3,19,failing,dilated_cardiomyopathy,UCD-0017999,Endocrinology & Hormones,D03,-1,3,19,1.0
localhost240927120001,Plate_3,D,5,19,failing,dilated_cardiomyopathy,UCD-0001014,Neuronal Signaling,D05,-1,3,19,1.0
localhost240927120001,Plate_3,D,6,19,failing,dilated_cardiomyopathy,UCD-0159258,Angiogenesis,D06,-1,3,19,1.0
localhost240927120001,Plate_3,D,7,19,failing,dilated_cardiomyopathy,UCD-0159261,Others,D07,-1,3,19,1.0
localhost240927120001,Plate_3,D,9,19,failing,dilated_cardiomyopathy,UCD-0001775,Others,D09,-1,3,19,1.0
localhost240927120001,Plate_3,D,10,19,failing,dilated_cardiomyopathy,UCD-0159274,Others,D10,-1,3,19,1.0
localhost240927120001,Plate_3,D,11,19,failing,dilated_cardiomyopathy,UCD-0001792,Others,D11,-1,1,17,1.0
localhost240927120001,Plate_3,E,3,19,failing,dilated_cardiomyopathy,UCD-0159285,DNA Damage,E03,-1,3,19,1.0
localhost240927120001,Plate_3,E,4,19,failing,dilated_cardiomyopathy,UCD-0159289,Metabolism,E04,-1,3,19,1.0
localhost240927120001,Plate_3,E,6,19,failing,dilated_cardiomyopathy,UCD-0018179,MAPK,E06,-1,3,19,1.0
localhost240927120001,Plate_3,E,7,19,failing,dilated_cardiomyopathy,UCD-0001016,Neuronal Signaling,E07,-1,3,19,1.0
localhost240927120001,Plate_3,E,9,19,failing,dilated_cardiomyopathy,UCD-0001804,MAPK,E09,-1,3,19,1.0
localhost240927120001,Plate_3,E,10,19,failing,dilated_cardiomyopathy,UCD-0018207,Neuronal Signaling,E10,-1,3,19,1.0
localhost240927120001,Plate_3,F,2,19,failing,dilated_cardiomyopathy,UCD-0001844,Others,F02,-1,3,19,1.0
localhost240927120001,Plate_3,F,3,19,failing,dilated_cardiomyopathy,UCD-0159270,Others,F03,-1,3,19,1.0
localhost240927120001,Plate_3,F,4,19,failing,dilated_cardiomyopathy,UCD-0159275,Others,F04,-1,3,19,1.0
localhost240927120001,Plate_3,F,6,19,failing,dilated_cardiomyopathy,UCD-0001613,Endocrinology & Hormones,F06,-1,3,19,1.0
localhost240927120001,Plate_3,F,7,19,failing,dilated_cardiomyopathy,UCD-0001921,Epigenetics,F07,-1,3,19,1.0
localhost240927120001,Plate_3,F,8,19,failing,dilated_cardiomyopathy,UCD-0159290,PI3K/Akt/mTOR,F08,-1,2,18,1.0
localhost240927120001,Plate_3,F,9,19,failing,dilated_cardiomyopathy,UCD-0159293,Others,F09,-1,3,19,1.0
localhost240927120001,Plate_3,F,10,19,failing,dilated_cardiomyopathy,UCD-0001808,MAPK,F10,-1,3,19,1.0
localhost240927120001,Plate_3,F,11,19,failing,dilated_cardiomyopathy,UCD-0001801,Endocrinology & Hormones,F11,-1,3,19,1.0
localhost240927120001,Plate_3,G,2,19,failing,dilated_cardiomyopathy,UCD-0159265,Neuronal Signaling,G02,-1,3,19,0.9166666666666666
localhost240927120001,Plate_3,G,3,19,failing,dilated_cardiomyopathy,UCD-0159271,Others,G03,-1,3,19,1.0
localhost240927120001,Plate_3,G,4,19,failing,dilated_cardiomyopathy,UCD-0001835,Others,G04,-1,3,19,1.0
localhost240927120001,Plate_3,G,5,19,failing,dilated_cardiomyopathy,UCD-0159280,Others,G05,-1,3,19,1.0
localhost240927120001,Plate_3,G,6,19,failing,dilated_cardiomyopathy,UCD-0159286,Others,G06,-1,3,19,0.7254901960784315
localhost240927120001,Plate_3,G,7,19,failing,dilated_cardiomyopathy,UCD-0018131,Angiogenesis,G07,-1,3,19,1.0
localhost240927120001,Plate_3,G,8,19,failing,dilated_cardiomyopathy,UCD-0001024,Neuronal Signaling,G08,-1,3,19,1.0
localhost240927120001,Plate_3,G,9,19,failing,dilated_cardiomyopathy,UCD-0001829,PI3K/Akt/mTOR,G09,-1,3,19,1.0
localhost240927120001,Plate_3,G,10,19,failing,dilated_cardiomyopathy,UCD-0159259,PI3K/Akt/mTOR,G10,-1,3,19,1.0
localhost240927120001,Plate_3,G,11,19,failing,dilated_cardiomyopathy,UCD-0001842,Neuronal Signaling,G11,-1,3,19,1.0
localhost240928120001,Plate_4,B,3,19,failing,dilated_cardiomyopathy,UCD-0159256,Apoptosis,B03,-1,3,19,1.0
localhost240928120001,Plate_4,B,4,19,failing,dilated_cardiomyopathy,UCD-0001766,Angiogenesis,B04,-1,3,19,1.0
localhost240928120001,Plate_4,B,6,19,failing,dilated_cardiomyopathy,UCD-0159262,Others,B06,-1,3,19,1.0
localhost240928120001,Plate_4,B,7,19,failing,dilated_cardiomyopathy,UCD-0001915,Others,B07,-1,3,19,1.0
localhost240928120001,Plate_4,B,9,19,failing,dilated_cardiomyopathy,UCD-0001783,Others,B09,-1,1,17,0.2
localhost240928120001,Plate_4,B,10,19,failing,dilated_cardiomyopathy,UCD-0159279,Others,B10,-1,3,19,1.0
localhost240928120001,Plate_4,C,2,19,failing,dilated_cardiomyopathy,UCD-0159283,Endocrinology & Hormones,C02,-1,3,19,1.0
localhost240928120001,Plate_4,C,3,19,failing,dilated_cardiomyopathy,UCD-0001040,Endocrinology & Hormones,C03,-1,3,19,1.0
localhost240928120001,Plate_4,C,5,19,failing,dilated_cardiomyopathy,UCD-0000450,Neuronal Signaling,C05,-1,3,19,1.0
localhost240928120001,Plate_4,C,6,19,failing,dilated_cardiomyopathy,UCD-0159257,DNA Damage,C06,-1,3,19,1.0
localhost240928120001,Plate_4,C,7,19,failing,dilated_cardiomyopathy,UCD-0001810,DNA Damage,C07,-1,3,19,1.0
localhost240928120001,Plate_4,C,8,19,failing,dilated_cardiomyopathy,UCD-0159263,Others,C08,-1,3,19,1.0
localhost240928120001,Plate_4,C,9,19,failing,dilated_cardiomyopathy,UCD-0159269,Others,C09,-1,3,19,1.0
localhost240928120001,Plate_4,C,10,19,failing,dilated_cardiomyopathy,UCD-0159273,Others,C10,-1,3,19,1.0
localhost240928120001,Plate_4,D,2,19,failing,dilated_cardiomyopathy,UCD-0159284,Stem Cells & Wnt,D02,-1,3,19,1.0
localhost240928120001,Plate_4,D,3,19,failing,dilated_cardiomyopathy,UCD-0017999,Endocrinology & Hormones,D03,-1,3,19,1.0
localhost240928120001,Plate_4,D,4,19,failing,dilated_cardiomyopathy,UCD-0000721,Neuronal Signaling,D04,-1,0,16,
localhost240928120001,Plate_4,D,5,19,failing,dilated_cardiomyopathy,UCD-0001014,Neuronal Signaling,D05,-1,3,19,1.0
localhost240928120001,Plate_4,D,6,19,failing,dilated_cardiomyopathy,UCD-0159258,Angiogenesis,D06,-1,3,19,1.0
localhost240928120001,Plate_4,D,7,19,failing,dilated_cardiomyopathy,UCD-0159261,Others,D07,-1,3,19,1.0
localhost240928120001,Plate_4,D,8,19,failing,dilated_cardiomyopathy,UCD-0159264,Neuronal Signaling,D08,-1,1,17,0.058823529411764705
localhost240928120001,Plate_4,D,9,19,failing,dilated_cardiomyopathy,UCD-0001775,Others,D09,-1,3,19,1.0
localhost240928120001,Plate_4,D,10,19,failing,dilated_cardiomyopathy,UCD-0159274,Others,D10,-1,3,19,1.0
localhost240928120001,Plate_4,E,3,19,failing,dilated_cardiomyopathy,UCD-0159285,DNA Damage,E03,-1,3,19,1.0
localhost240928120001,Plate_4,E,4,19,failing,dilated_cardiomyopathy,UCD-0159289,Metabolism,E04,-1,3,19,1.0
localhost240928120001,Plate_4,E,6,19,failing,dilated_cardiomyopathy,UCD-0018179,MAPK,E06,-1,3,19,1.0
localhost240928120001,Plate_4,E,7,19,failing,dilated_cardiomyopathy,UCD-0001016,Neuronal Signaling,E07,-1,3,19,1.0
localhost240928120001,Plate_4,E,9,19,failing,dilated_cardiomyopathy,UCD-0001804,MAPK,E09,-1,3,19,1.0
localhost240928120001,Plate_4,E,10,19,failing,dilated_cardiomyopathy,UCD-0018207,Neuronal Signaling,E10,-1,3,19,1.0
localhost240928120001,Plate_4,F,2,19,failing,dilated_cardiomyopathy,UCD-0001844,Others,F02,-1,3,19,1.0
localhost240928120001,Plate_4,F,3,19,failing,dilated_cardiomyopathy,UCD-0159270,Others,F03,-1,3,19,1.0
localhost240928120001,Plate_4,F,4,19,failing,dilated_cardiomyopathy,UCD-0159275,Others,F04,-1,3,19,1.0
localhost240928120001,Plate_4,F,6,19,failing,dilated_cardiomyopathy,UCD-0001613,Endocrinology & Hormones,F06,-1,3,19,1.0
localhost240928120001,Plate_4,F,7,19,failing,dilated_cardiomyopathy,UCD-0001921,Epigenetics,F07,-1,3,19,1.0
localhost240928120001,Plate_4,F,9,19,failing,dilated_cardiomyopathy,UCD-0159293,Others,F09,-1,3,19,0.8333333333333334
localhost240928120001,Plate_4,F,10,19,failing,dilated_cardiomyopathy,UCD-0001808,MAPK,F10,-1,3,19,1.0
localhost240928120001,Plate_4,F,11,19,failing,dilated_cardiomyopathy,UCD-0001801,Endocrinology & Hormones,F11,-1,3,19,1.0
localhost240928120001,Plate_4,G,2,19,failing,dilated_cardiomyopathy,UCD-0159265,Neuronal Signaling,G02,-1,3,19,1.0
localhost240928120001,Plate_4,G,3,19,failing,dilated_cardiomyopathy,UCD-0159271,Others,G03,-1,3,19,1.0
localhost240928120001,Plate_4,G,4,19,failing,dilated_cardiomyopathy,UCD-0001835,Others,G04,-1,3,19,1.0
localhost240928120001,Plate_4,G,5,19,failing,dilated_cardiomyopathy,UCD-0159280,Others,G05,-1,3,19,1.0
localhost240928120001,Plate_4,G,6,19,failing,dilated_cardiomyopathy,UCD-0159286,Others,G06,-1,3,19,0.6081871345029239
localhost240928120001,Plate_4,G,7,19,failing,dilated_cardiomyopathy,UCD-0018131,Angiogenesis,G07,-1,3,19,1.0
localhost240928120001,Plate_4,G,8,19,failing,dilated_cardiomyopathy,UCD-0001024,Neuronal Signaling,G08,-1,3,19,1.0
localhost240928120001,Plate_4,G,9,19,failing,dilated_cardiomyopathy,UCD-0001829,PI3K/Akt/mTOR,G09,-1,3,19,1.0
localhost240928120001,Plate_4,G,10,19,failing,dilated_cardiomyopathy,UCD-0159259,PI3K/Akt/mTOR,G10,-1,3,19,1.0
localhost240928120001,Plate_4,G,11,19,failing,dilated_cardiomyopathy,UCD-0001842,Neuronal Signaling,G11,-1,3,19,1.0
